"condition","distance_threshold","weight_distance_hospital","weight_opinion","social_multiplier","weight_experience","uptrnk_sd"
10,0,-5,1,0,0.5,0.25
2,0,-5,0,0,0.5,0.25
68,260,-5,5,0,1,0.25
12,0,-5,1,0,1,0.25
72,260,-5,5,1,1,0.25
4,0,-5,0,0,1,0.25
59,260,-5,1,0,1,0
57,260,-5,1,0,0.5,0
8,0,-5,0,1,1,0.25
56,260,-5,0,1,1,0.25
50,260,-5,0,0,0.5,0.25
63,260,-5,1,1,1,0
6,0,-5,0,1,0.5,0.25
11,0,-5,1,0,1,0
16,0,-5,1,1,1,0.25
61,260,-5,1,1,0.5,0
51,260,-5,0,0,1,0
13,0,-5,1,1,0.5,0
53,260,-5,0,1,0.5,0
14,0,-5,1,1,0.5,0.25
49,260,-5,0,0,0.5,0
7,0,-5,0,1,1,0
15,0,-5,1,1,1,0
84,260,-1,1,0,1,0.25
55,260,-5,0,1,1,0
9,0,-5,1,0,0.5,0
3,0,-5,0,0,1,0
88,260,-1,1,1,1,0.25
1,0,-5,0,0,0.5,0
5,0,-5,0,1,0.5,0
58,260,-5,1,0,0.5,0.25
60,260,-5,1,0,1,0.25
64,260,-5,1,1,1,0.25
62,260,-5,1,1,0.5,0.25
87,260,-1,1,1,1,0
29,0,-1,0,1,0.5,0
38,0,-1,1,1,0.5,0.25
74,260,-1,0,0,0.5,0.25
77,260,-1,0,1,0.5,0
81,260,-1,1,0,0.5,0
25,0,-1,0,0,0.5,0
39,0,-1,1,1,1,0
82,260,-1,1,0,0.5,0.25
76,260,-1,0,0,1,0.25
33,0,-1,1,0,0.5,0
40,0,-1,1,1,1,0.25
85,260,-1,1,1,0.5,0
79,260,-1,0,1,1,0
32,0,-1,0,1,1,0.25
28,0,-1,0,0,1,0.25
31,0,-1,0,1,1,0
26,0,-1,0,0,0.5,0.25
78,260,-1,0,1,0.5,0.25
83,260,-1,1,0,1,0
75,260,-1,0,0,1,0
80,260,-1,0,1,1,0.25
36,0,-1,1,0,1,0.25
37,0,-1,1,1,0.5,0
73,260,-1,0,0,0.5,0
34,0,-1,1,0,0.5,0.25
86,260,-1,1,1,0.5,0.25
27,0,-1,0,0,1,0
35,0,-1,1,0,1,0
30,0,-1,0,1,0.5,0.25
23,0,-5,5,1,1,0
91,260,-1,5,0,1,0
24,0,-5,5,1,1,0.25
66,260,-5,5,0,0.5,0.25
17,0,-5,5,0,0.5,0
18,0,-5,5,0,0.5,0.25
20,0,-5,5,0,1,0.25
90,260,-1,5,0,0.5,0.25
45,0,-1,5,1,0.5,0
48,0,-1,5,1,1,0.25
93,260,-1,5,1,0.5,0
21,0,-5,5,1,0.5,0
22,0,-5,5,1,0.5,0.25
65,260,-5,5,0,0.5,0
19,0,-5,5,0,1,0
46,0,-1,5,1,0.5,0.25
95,260,-1,5,1,1,0
69,260,-5,5,1,0.5,0
67,260,-5,5,0,1,0
70,260,-5,5,1,0.5,0.25
71,260,-5,5,1,1,0
89,260,-1,5,0,0.5,0
96,260,-1,5,1,1,0.25
47,0,-1,5,1,1,0
41,0,-1,5,0,0.5,0
42,0,-1,5,0,0.5,0.25
94,260,-1,5,1,0.5,0.25
44,0,-1,5,0,1,0.25
92,260,-1,5,0,1,0.25
43,0,-1,5,0,1,0
52,260,-5,0,0,1,0.25
54,260,-5,0,1,0.5,0.25
