"Codice.Comune","Codice.struttura"
47017,"00062D"
47002,"00072D"
47024,"00092D"
47014,"00902D"
47014,"00962D"
47014,"00972D"
47010,"00982D"
47020,"01102D"
47005,"02002DLA"
47011,"02062D"
47016,"02122D"
47012,"02192D"
47009,"02682D"
100005,"11002D"
48017,"12012D"
48014,"12042D"
48014,"12072D"
48010,"12192D"
48020,"12232D"
48030,"12242D"
48008,"12252D"
48028,"12262D"
48011,"12272D"
48027,"12282D"
48012,"12322D"
48017,"13172D"
48017,"14012D"
48017,"14232D"
48017,"15082D"
100007,"20012D"
48041,"21012DSC"
50032,"21021D"
50033,"22032D"
48019,"22042D"
48024,"22062D"
50022,"22072D"
50032,"22192D"
50009,"22202D"
50009,"22212DCS"
100003,"23012D"
100004,"24012D"
48005,"24092D"
48006,"24122D"
100002,"25012D"
48017,"25032D"
48035,"31012DRE"
48036,"31032D"
48052,"32022D"
48033,"33032D"
48001,"34032D"
48022,"35012D"
48021,"35052D"
48038,"36012D"
48054,"36022D"
48026,"41132D"
48004,"41182D"
48002,"42012D"
48018,"42032D"
48013,"43012D"
48050,"E2781A"
48043,"F3012D"
100006,"R1012D"
47006,"T4002D"
46002,"00132D"
46007,"00312D"
46015,"00612D"
46017,"00912D"
46021,"01522D"
46009,"02002D"
46003,"03002D"
46017,"04002D"
46005,"10012DCA"
46033,"10222D"
46033,"10272D"
46005,"10511A"
49017,"11012X"
49017,"11012Y"
49017,"11012Z"
50026,"111A2D"
50026,"111B2D"
50026,"111C2D"
50008,"112A2D"
50031,"113A2D"
45001,"12031D"
45016,"12141D"
45014,"12151D"
49006,"13002Y"
49007,"13222X"
49007,"16122Y"
49007,"16122Z"
49008,"20142Y"
50029,"210E2D"
50028,"211A2D"
50001,"212A2D"
50035,"212D2D"
50036,"213A2D"
45010,"22011D"
49009,"22112Y"
45003,"22261D"
49009,"24112Y"
49009,"26112Y"
49009,"26132X"
49009,"26132Y"
49009,"26132Z"
49008,"27112Y"
49002,"30022Y"
46028,"30962X"
49012,"31022Y"
49012,"31042X"
49012,"31042Y"
49002,"31062Y"
49018,"31072Y"
49020,"31082Y"
49019,"31092Y"
50021,"31102Y"
50039,"311B2D"
50039,"311C2D"
50019,"311F2D"
50019,"311L3D"
50011,"312A2D"
50027,"312B2D"
50027,"312D2D"
49014,"42002X"
49014,"42002Y"
51004,"10012D"
52004,"10112D"
52025,"10312D"
52012,"10512D"
53009,"11022D"
53010,"11082D"
53015,"11162D"
52022,"11212D"
53024,"11262D"
53027,"11282D"
52028,"12112D"
52022,"13112D"
52015,"20312D"
52033,"20812D"
52035,"21012D"
53012,"21052D"
53013,"21082D"
53014,"21142D"
53016,"21182D"
53018,"21242D"
53019,"21302D"
52009,"21712D"
52011,"21912D"
52031,"22212D"
52021,"22412D"
51034,"24912D"
52001,"30212D"
51012,"30512D"
52020,"30912D"
52024,"31012D"
53004,"31062D"
53005,"31102D"
52007,"31112D"
53007,"31142D"
53020,"31162D"
53022,"31202D"
53028,"31252D"
52001,"32012D"
51017,"33112D"
51018,"36612D"
51002,"40612D"
53002,"41012D"
53006,"41062D"
53008,"41162D"
53011,"41262D"
53021,"41312D"
53023,"41392D"
52032,"42112D"
52034,"42412D"
52017,"42912D"
52030,"43612D"
52002,"43812D"
52026,"43912D"
52006,"44112D"
52013,"44312D"
52016,"44612D"
51016,"45712D"
51025,"46412D"
52037,"47511A"
51037,"48012D"
52032,"49012D"
51033,"57312D"
53003,"G1012D"
53017,"G1212D"
