who_hospital;name_hospital;pro_com_hospital
65;F.LOTTI PONTEDERA (PI);50029
54;NUOVO OSPEDALE BORGO S.LORENZO (FI);48017
60;S.GIOVANNI DI DIO-TORREGALLI (FI);48017
63;OSPEDALE SAN JACOPO;47014
69;OSPEDALE SAN LUCA;46017
62;CIVILE CECINA (LI);49009
68;CIVILE ELBANO PORTOFERRAIO (LI);49014
51;LE SCOTTE SIENA;52032
55;OSPEDALE DELL'ALTA VAL D'ELSA POGGIBONSI;52022
64;OSPEDALE S. GIUSEPPE;48014
67;SAN ROSSORE;50026
48;AREA ARETINA NORD AREZZO;51002
53;MISERICORDIA GROSSETO;53011
59;RIUNITI LIVORNO;49009
56;SS. GIACOMO E CRISTOFORO MASSA;45010
57;S.M. ANNUNZIATA BAGNO A RIPOLI;48001
70;SERRISTORI FIGLINE V.A. (FI);48052
50;COMPLESSO OSPEDALIERO CAREGGI - CTO (FI);48017
49;"OSPEDALE DEL VALDARNO - ""S.MARIA DELLA GRUCCIA""";51026
61;NUOVO OSPEDALE DI PRATO S.STEFANO;100005
52;OSP. RIUNITI DELLA VAL DI CHIANA;52032
66;"OSPEDALE UNICO ""VERSILIA""";46005
58;OSPEDALI PISANI (PI);50026
71;S. FRANCESCO BARGA (LU);46003
