"presidio","rankinit"
"AREA ARETINA NORD AREZZO",1
"OSPEDALE DEL VALDARNO - ""S.MARIA DELLA GRUCCIA""",-1
"COMPLESSO OSPEDALIERO CAREGGI - CTO (FI)",1
"LE SCOTTE SIENA",0.5
"OSP. RIUNITI DELLA VAL DI CHIANA",-1
"MISERICORDIA GROSSETO",0
"NUOVO OSPEDALE BORGO S.LORENZO (FI)",-1
"OSPEDALE DELL'ALTA VAL D'ELSA POGGIBONSI",0.5
"SS. GIACOMO E CRISTOFORO MASSA",0.5
"S.M. ANNUNZIATA BAGNO A RIPOLI",0
"OSPEDALI PISANI (PI)",1
"RIUNITI LIVORNO",0.5
"S.GIOVANNI DI DIO-TORREGALLI (FI)",1
"NUOVO OSPEDALE DI PRATO S.STEFANO",1
"CIVILE CECINA (LI)",0.5
"OSPEDALE SAN JACOPO",1
"OSPEDALE S. GIUSEPPE",0.5
"F.LOTTI PONTEDERA (PI)",0.5
"OSPEDALE UNICO ""VERSILIA""",0
"SAN ROSSORE",0
"CIVILE ELBANO PORTOFERRAIO (LI)",-1
"OSPEDALE SAN LUCA",0
"SERRISTORI FIGLINE V.A. (FI)",-1
"S. FRANCESCO BARGA (LU)",-1
