who,timeatbirth,pro_com,selectedhospitalemp,name_selectedhospitalemp,selectedhospital,name_selectedhospital,rankinglist,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
72,1240,51001,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[65 0.15087391080401402] [54 -0.8261989456440871] [61 0.8703094565882651] [60 1] [57 0.34945126688209344] [48 -0.17227086742969766] [49 0] [50 0] [51 0] [52 0] [53 0] [55 0] [56 0] [58 0] [59 0] [62 0] [63 0] [64 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
73,3091,51001,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.9947323710806285] [50 1] [52 -0.9789037581506549] [60 0.5437038324232548] [57 -0.30403593960632047] [49 0] [51 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
74,11,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.8394968554871707] [51 0.32094434142029893] [61 1] [49 -1] [57 0.12942193973937238] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
75,311,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [51 0.28001833192288655] [52 -0.8963593933260411] [63 1] [60 0.9463051056655198] [49 0] [50 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
76,2224,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [54 -1] [61 0.5906778312162453] [55 0.6302118858367476] [57 -0.017388026166272313] [49 0] [50 0] [51 0] [52 0] [53 0] [56 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
77,1228,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [52 -1] [49 -0.8369864316168141] [60 1] [70 -0.90692218469602] [50 0] [51 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
78,209,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [52 -1] [49 -0.8634697803131455] [67 -0.10758767206399028] [70 -0.5406495964320541] [50 0] [51 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
79,275,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.656434405096712] [50 1] [57 -0.14687827217240546] [67 0.39989533862570625] [70 -1] [49 0] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
80,812,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [52 -0.8787942247537939] [55 0.05224530762648383] [64 0.6630253507983677] [70 -0.887402966458291] [49 0] [50 0] [51 0] [53 0] [54 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
81,1587,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[51 0.3603040784216084] [61 0.8706596453817637] [49 -0.8935667180584208] [57 0.44662607371036134] [70 -1] [48 0.044908092617355094] [50 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
82,2812,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 0.6545289367395335] [50 0.8085641232936505] [51 0.2512126557457338] [69 -0.008101717384762175] [70 -1] [49 0] [52 0] [53 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [64 0] [65 0] [66 0] [67 0] [68 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
83,833,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [50 0.3945151447140033] [49 -1] [63 0.9319390862428368] [57 -0.10108019569175539] [51 0] [52 0] [53 0] [54 0] [55 0] [56 0] [58 0] [59 0] [60 0] [61 0] [62 0] [64 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0] [71 0]]}},true,90,46,-10,5,10,true,0,0.25,false
84,559,51002,48,AREA ARETINA NORD AREZZO,48,AREA ARETINA NORD AREZZO,{{table: [[48 1] [53 0.2568939395223337] [52 -0.9195306688798031] [64 0.32414693160491337] [71 -0.9689840841737137] [49 0] [50 0] [51 0] [54 0] [55 0] [56 0] [57 0] [58 0] [59 0] [60 0] [61 0] [62 0] [63 0] [65 0] [66 0] [67 0] [68 0] [69 0] [70 0]]}},true,90,46,-10,5,10,true,0,0.25,false
