who,timeatbirth,pro_com,selectedhospitalemp,name_selectedhospitalemp,procom_selectedhospitalemp,selectedhospital,name_selectedhospital,procom_selectedhospital,rankinglist,rescale15,distance_threshold,n_network,weight_distance_hospital,social_multiplier,weight_experience,uptrnk_sd,eps_birthtrue,eps_notbirth,mu_birthtrue,mu_notbirth
72,2357,51001,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 1] [49 -0.152] [50 0.573] [51 0.95] [52 0.416] [53 0.592] [54 0.759] [55 0.032] [56 0.504] [57 0.449] [58 0.834] [59 0.994] [60 -0.19] [61 0.867] [62 -0.362] [63 0.792] [64 0.851] [65 0.008] [66 -0.565] [67 -0.257] [68 0.497] [69 0.414] [70 -0.615] [71 -0.016]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
73,995,51001,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 1] [49 -0.576] [50 0.755] [51 -0.009] [52 -0.047] [53 0.029] [54 0.495] [55 0.448] [56 -0.489] [57 0.455] [58 0.124] [59 0.778] [60 -0.582] [61 -0.104] [62 -0.214] [63 -0.17] [64 -0.718] [65 -0.424] [66 0.467] [67 0.535] [68 0.479] [69 0.227] [70 -0.896] [71 -0.268]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
74,2390,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 0.5813519949300182] [49 -0.779] [50 0.5] [51 -0.675] [52 -0.27] [53 -0.907] [54 -0.551] [55 0.928] [56 -0.761] [57 0.56] [58 0.216] [59 -0.969] [60 -0.503] [61 0.87] [62 0.578] [63 -0.717] [64 -0.602] [65 -0.659] [66 -0.469] [67 0.364] [68 -0.638] [69 -0.515] [70 -0.74] [71 0.925]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
75,1714,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 1] [49 -0.575] [50 0.685] [51 -0.968] [52 -0.8] [53 0.645] [54 0.146] [55 0.245] [56 0.368] [57 0.856] [58 0.314] [59 -0.703] [60 -0.003] [61 -0.682] [62 0.289] [63 -0.929] [64 0.977] [65 0.82] [66 -0.81] [67 -0.294] [68 -0.251] [69 0.168] [70 -0.621] [71 -0.121]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
76,1988,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 1] [49 -0.865] [50 0.859] [51 -0.754] [52 -0.639] [53 0.416] [54 -0.453] [55 0.811] [56 0.165] [57 -0.616] [58 -0.961] [59 -0.912] [60 0.683] [61 0.388] [62 -0.925] [63 0.976] [64 0.634] [65 -0.582] [66 0.439] [67 0.409] [68 0.164] [69 -0.176] [70 0.551] [71 -0.036]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
77,2849,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 0.8274460182649944] [49 -0.356] [50 -0.74] [51 -0.709] [52 -0.75] [53 -0.792] [54 -0.367] [55 0.133] [56 -0.568] [57 0.107] [58 0.38] [59 0.301] [60 -0.96] [61 -0.971] [62 0.003] [63 -0.314] [64 -0.099] [65 0.401] [66 0.293] [67 0.384] [68 -0.526] [69 -0.104] [70 -0.73] [71 -0.195]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
78,2921,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 0.9561857891079507] [49 0.028] [50 -0.085] [51 -0.172] [52 0.174] [53 -0.453] [54 -0.307] [55 -0.808] [56 -0.379] [57 -0.678] [58 0.235] [59 -0.386] [60 -0.24] [61 -0.94] [62 -0.845] [63 0.957] [64 0.585] [65 -0.313] [66 0.738] [67 -0.637] [68 0.174] [69 -0.06] [70 0.467] [71 -0.397]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
79,1619,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 0.994683765858143] [49 0.356] [50 0.418] [51 0.277] [52 -0.948] [53 -0.54] [54 0.292] [55 -0.579] [56 -0.267] [57 -0.979] [58 -0.148] [59 0.766] [60 0.757] [61 0.6] [62 0.95] [63 0.882] [64 0.578] [65 0.566] [66 -0.278] [67 -0.875] [68 0.431] [69 0.648] [70 0.718] [71 0.103]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
80,906,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 0.4437284886656412] [49 -0.533] [50 -0.864] [51 0.721] [52 -0.699] [53 -0.161] [54 0.927] [55 0.766] [56 -0.573] [57 0.037] [58 -0.732] [59 0.804] [60 0.239] [61 0.216] [62 0.113] [63 0.972] [64 0.274] [65 -0.574] [66 0.817] [67 -0.258] [68 0.068] [69 -0.052] [70 0.795] [71 -0.804]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
81,2241,51002,48,AREA ARETINA NORD AREZZO,51002,48,AREA ARETINA NORD AREZZO,51002,{{table: [[48 0.7297316061555634] [49 0.001] [50 0.349] [51 0.45] [52 0.461] [53 -0.582] [54 0.026] [55 0.367] [56 -0.745] [57 -0.188] [58 -0.886] [59 0.409] [60 0.248] [61 0.744] [62 0.089] [63 0.686] [64 -0.773] [65 -0.741] [66 0.788] [67 0.937] [68 0.763] [69 -0.902] [70 -0.363] [71 -0.504]]}},true,0,50,-10,10,1,0.25,0,2,1,0.5
