who,pro_com,selectedhospitalemp,name_selectedhospitalemp,selectedhospital,name_selectedhospital,rankinglist,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
72,51001,48,AREA ARETINA NORD AREZZO,67,SAN ROSSORE,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 -0.07290181478671375] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
73,51001,48,AREA ARETINA NORD AREZZO,62,CIVILE CECINA (LI),{{table: [[48 1] [62 0.6850298666799514] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
74,51002,48,AREA ARETINA NORD AREZZO,69,OSPEDALE SAN LUCA,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 -0.3621766304739132] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
75,51002,48,AREA ARETINA NORD AREZZO,70,SERRISTORI FIGLINE V.A. (FI),{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -0.969963811536139] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
76,51002,48,AREA ARETINA NORD AREZZO,67,SAN ROSSORE,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 -0.38334857205028033] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
77,51002,48,AREA ARETINA NORD AREZZO,54,NUOVO OSPEDALE BORGO S.LORENZO (FI),{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
78,51002,48,AREA ARETINA NORD AREZZO,63,OSPEDALE SAN JACOPO,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 0.9166304779976876] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
79,51002,48,AREA ARETINA NORD AREZZO,64,OSPEDALE S. GIUSEPPE,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.28885072103504517] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
80,51002,48,AREA ARETINA NORD AREZZO,55,OSPEDALE DELL'ALTA VAL D'ELSA POGGIBONSI,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.6607163011393193] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
81,51002,48,AREA ARETINA NORD AREZZO,66,"OSPEDALE UNICO ""VERSILIA""",{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 -0.14219123857459698] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
82,51002,48,AREA ARETINA NORD AREZZO,59,RIUNITI LIVORNO,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.4887879731194871] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
83,51002,48,AREA ARETINA NORD AREZZO,68,CIVILE ELBANO PORTOFERRAIO (LI),{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
84,51002,48,AREA ARETINA NORD AREZZO,64,OSPEDALE S. GIUSEPPE,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.38848331573611283] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
85,51002,48,AREA ARETINA NORD AREZZO,53,MISERICORDIA GROSSETO,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0.19777441273546995] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
86,51002,48,AREA ARETINA NORD AREZZO,66,"OSPEDALE UNICO ""VERSILIA""",{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0.05650622969110232] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
87,51002,48,AREA ARETINA NORD AREZZO,69,OSPEDALE SAN LUCA,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0.2748858099422082] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
88,51002,48,AREA ARETINA NORD AREZZO,53,MISERICORDIA GROSSETO,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 -0.19798058852133302] [54 -1] [61 1] [52 -1] [49 -1] [55 0.5] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
89,51002,48,AREA ARETINA NORD AREZZO,55,OSPEDALE DELL'ALTA VAL D'ELSA POGGIBONSI,{{table: [[48 1] [62 0.5] [68 -1] [50 1] [65 0.5] [51 0.5] [53 0] [54 -1] [61 1] [52 -1] [49 -1] [55 0.6958155992528571] [64 0.5] [63 1] [69 0] [66 0] [58 1] [59 0.5] [71 -1] [60 1] [57 0] [67 0] [70 -1] [56 0.5]]}},true,90,50,0,0,0,true,0,0.2,false
