resize;network;distnetwork;distanhosp;socialmult;running;rename;status x v
FALSE;50;0;0;0;1;f_50_n0_h0_s0;x
FALSE;50;0;-1;0;1;f_50_n0_h0_s0;x
FALSE;50;0;-5;0;1;f_50_n0_h0_s0;x
FALSE;50;0;-10;0;1;f_50_n0_h0_s0;x
FALSE;50;0;0;-1;1;f_50_n0_h0_sm1;
FALSE;50;0;-1;-1;1;f_50_n0_h0_sm1;
FALSE;50;0;-5;-1;1;f_50_n0_h0_sm1;
FALSE;50;0;-10;-1;1;f_50_n0_h0_sm1;
FALSE;50;0;0;-5;1;f_50_n0_h0_sm5;
FALSE;50;0;-1;-5;1;f_50_n0_h0_sm5;
FALSE;50;0;-5;-5;1;f_50_n0_h0_sm5;
FALSE;50;0;-10;-5;1;f_50_n0_h0_sm5;
FALSE;50;0;0;-10;1;f_50_n0_h0_sm10;
FALSE;50;0;-1;-10;1;f_50_n0_h0_sm10;
FALSE;50;0;-5;-10;1;f_50_n0_h0_sm10;
FALSE;50;0;-10;-10;1;f_50_n0_h0_sm10;
FALSE;50;-1;0;0;1;f_50_nm1_h0_s0;
FALSE;50;-1;-1;0;1;f_50_nm1_h0_s0;
FALSE;50;-1;-5;0;1;f_50_nm1_h0_s0;
FALSE;50;-1;-10;0;1;f_50_nm1_h0_s0;
FALSE;50;-1;0;-1;1;f_50_nm1_h0_sm1;
FALSE;50;-1;-1;-1;1;f_50_nm1_h0_sm1;
FALSE;50;-1;-5;-1;1;f_50_nm1_h0_sm1;
FALSE;50;-1;-10;-1;1;f_50_nm1_h0_sm1;
FALSE;50;-1;0;-5;1;f_50_nm1_h0_sm5;
FALSE;50;-1;-1;-5;1;f_50_nm1_h0_sm5;
FALSE;50;-1;-5;-5;1;f_50_nm1_h0_sm5;
FALSE;50;-1;-10;-5;1;f_50_nm1_h0_sm5;
FALSE;50;-1;0;-10;1;f_50_nm1_h0_sm10;
FALSE;50;-1;-1;-10;1;f_50_nm1_h0_sm10;
FALSE;50;-1;-5;-10;1;f_50_nm1_h0_sm10;
FALSE;50;-1;-10;-10;1;f_50_nm1_h0_sm10;
