who,pro_com,selectedhospitalemp,selectedhospital,rescale15,distance_threshold,n_network,weight_distance_hospital,weight_ownranking,social_multiplier,show_networks,updaterank_mean,updaterank_sd,emp_net
72,51001,48,48,false,0,50,-10,0,10,false,0,0,false
73,51001,48,58,false,0,50,-10,0,10,false,0,0,false
74,51001,48,48,false,0,50,-10,0,10,false,0,0,false
75,51001,48,60,false,0,50,-10,0,10,false,0,0,false
76,51001,48,61,false,0,50,-10,0,10,false,0,0,false
77,51001,48,48,false,0,50,-10,0,10,false,0,0,false
78,51001,48,60,false,0,50,-10,0,10,false,0,0,false
79,51001,48,50,false,0,50,-10,0,10,false,0,0,false
80,51001,48,48,false,0,50,-10,0,10,false,0,0,false
81,51001,48,61,false,0,50,-10,0,10,false,0,0,false
82,51001,48,48,false,0,50,-10,0,10,false,0,0,false
83,51001,48,63,false,0,50,-10,0,10,false,0,0,false
84,51001,48,48,false,0,50,-10,0,10,false,0,0,false
85,51001,48,50,false,0,50,-10,0,10,false,0,0,false
86,51001,48,48,false,0,50,-10,0,10,false,0,0,false
87,51002,48,50,false,0,50,-10,0,10,false,0,0,false
88,51002,48,58,false,0,50,-10,0,10,false,0,0,false
89,51002,48,50,false,0,50,-10,0,10,false,0,0,false
90,51002,48,50,false,0,50,-10,0,10,false,0,0,false
91,51002,48,50,false,0,50,-10,0,10,false,0,0,false
92,51002,48,60,false,0,50,-10,0,10,false,0,0,false
93,51002,48,63,false,0,50,-10,0,10,false,0,0,false
94,51002,48,61,false,0,50,-10,0,10,false,0,0,false
95,51002,48,63,false,0,50,-10,0,10,false,0,0,false
96,51002,48,48,false,0,50,-10,0,10,false,0,0,false
97,51002,48,63,false,0,50,-10,0,10,false,0,0,false
98,51002,48,48,false,0,50,-10,0,10,false,0,0,false
99,51002,48,63,false,0,50,-10,0,10,false,0,0,false
100,51002,48,63,false,0,50,-10,0,10,false,0,0,false
101,51002,48,50,false,0,50,-10,0,10,false,0,0,false
102,51002,48,50,false,0,50,-10,0,10,false,0,0,false
103,51002,48,63,false,0,50,-10,0,10,false,0,0,false
