who,pro_com,selectedhospitalemp,selectedhospital
72,51001,48,48
73,51001,48,48
74,51002,48,48
75,51002,48,48
76,51002,48,48
77,51002,48,48
78,51002,48,48
79,51002,48,48
80,51002,48,48
81,51002,48,48
82,51002,48,48
83,51002,48,48
84,51002,48,48
85,51002,48,48
86,51002,48,48
87,51002,48,48
88,51002,48,48
89,51002,48,48
90,51002,48,48
91,51002,48,48
92,51002,48,48
93,51002,48,48
94,51002,48,48
95,51002,48,48
96,51002,48,48
97,51002,48,48
98,51002,48,48
99,51002,48,48
100,51002,48,48
101,51002,48,48
102,51002,48,48
103,51002,48,48
104,51002,48,48
105,51002,48,48
106,51002,48,48
107,51002,48,48
108,51002,48,48
109,51002,48,48
110,51002,48,48
111,51002,48,48
112,51002,48,48
113,51002,48,48
114,51002,48,48
115,51002,48,48
116,51002,48,48
117,51002,48,48
118,51002,48,48
119,51002,48,48
120,51002,48,48
121,51002,48,48
122,51002,48,48
123,51002,48,48
124,51002,48,48
125,51002,48,48
126,51002,48,48
127,51002,48,48
128,51002,48,48
129,51002,48,48
130,51002,48,48
131,51002,48,48
132,51002,48,48
133,51002,48,48
134,51002,48,48
135,51002,48,48
136,51002,48,48
137,51002,48,48
138,51002,48,48
139,51002,48,48
140,51002,48,48
141,51002,48,48
142,51002,48,48
143,51002,48,48
144,51002,48,48
145,51002,48,48
146,51002,48,48
147,51002,48,48
148,51002,48,48
149,51002,48,48
150,51002,48,48
151,51002,48,48
152,51002,48,48
153,51002,48,48
154,51002,48,48
155,51002,48,48
156,51002,48,48
157,51002,48,48
158,51004,48,48
159,51004,48,48
160,51004,48,48
161,51004,48,48
162,51004,48,48
163,51004,48,48
164,51004,48,48
165,51004,48,48
166,51004,48,48
167,51005,48,49
168,51006,48,48
169,51006,48,48
170,51006,48,48
171,51006,48,48
172,51006,48,48
173,51006,48,48
174,51007,48,48
175,51008,48,48
176,51010,48,48
177,51010,48,48
178,51011,48,48
179,51011,48,48
180,51012,48,48
181,51012,48,48
182,51012,48,48
183,51012,48,48
184,51012,48,48
185,51012,48,48
186,51012,48,48
187,51012,48,48
188,51012,48,48
189,51012,48,48
190,51013,48,49
191,51013,48,49
192,51013,48,49
193,51014,48,48
194,51015,48,48
195,51016,48,48
196,51016,48,48
197,51016,48,48
198,51016,48,48
199,51016,48,48
200,51016,48,48
201,51017,48,48
202,51017,48,48
203,51017,48,48
204,51017,48,48
205,51017,48,48
206,51017,48,48
207,51017,48,48
208,51017,48,48
209,51017,48,48
210,51017,48,48
211,51017,48,48
212,51017,48,48
213,51018,48,48
214,51018,48,48
215,51018,48,48
216,51018,48,48
217,51020,48,49
218,51021,48,48
219,51022,48,48
220,51022,48,48
221,51022,48,48
222,51023,48,57
223,51024,48,48
224,51025,48,48
225,51025,48,48
226,51025,48,48
227,51025,48,48
228,51025,48,48
229,51025,48,48
230,51025,48,48
231,51025,48,48
232,51026,48,49
233,51026,48,49
234,51026,48,49
235,51026,48,49
236,51026,48,49
237,51027,48,48
238,51030,48,48
239,51031,48,48
240,51031,48,48
241,51031,48,48
242,51033,48,49
243,51034,48,48
244,51034,48,48
245,51034,48,48
246,51034,48,48
247,51034,48,48
248,51034,48,48
249,51034,48,48
250,51034,48,48
251,51037,48,48
252,51037,48,48
253,51037,48,48
254,51037,48,48
255,51037,48,48
256,51038,48,48
257,51039,48,49
258,51040,48,70
259,51041,48,57
260,51041,48,48
261,51042,48,49
262,48001,48,57
263,48017,48,50
264,48035,48,70
265,48052,48,70
266,53009,48,53
267,53018,48,53
268,49009,48,62
269,46024,48,66
270,50008,48,65
